20021012.1~60f3de: 25951 records, 759 hits
20021012.10~044ddc: 53538 records, 1432 hits
20021012.3~a2ac91: 39170 records, 736 hits
20021012.4~c739a3: 166224 records, 1379 hits
20021012.5~a86d51: 13204 records, 383 hits
20021012.6~3bb408: 17244 records, 530 hits
20021012.7~5cfa2b: 9144 records, 325 hits
20021012.9~83a65f: 52396 records, 1146 hits
20021014.1~5ab505: 28068 records, 364 hits
20021014.2~14a492: 14878 records, 255 hits
20021014.4~a6cc21: 46780 records, 1074 hits
20021014.5~b7a9af: 21959 records, 602 hits
20021015.1~cc786e: 39723 records, 1615 hits
20021015.2~64cd16: 105135 records, 2189 hits
20021016.1~ef3ab9: 29293 records, 673 hits
20021016.2~c0707b: 12144 records, 414 hits
20021018.1~7e6332: 5013 records, 168 hits
20021019.1~9a66d6: 15070 records, 361 hits
20021019.2~553a02: 12649 records, 193 hits
20021019.3~79cf5a: 24794 records, 918 hits
20021019.5~4697b2: 22680 records, 1228 hits
20021021.1~499f4c: 38772 records, 1570 hits
20021021.10~5bf63d: 58583 records, 1090 hits
20021021.11~8e1ac6: 13588 records, 318 hits
20021021.2~36735e: 18287 records, 407 hits
20021021.3~8dd580: 7485 records, 196 hits
20021021.4~82b065: 28869 records, 787 hits
20021021.5~671d43: 5139 records, 152 hits
20021021.6~3bfe0c: 13669 records, 358 hits
20021021.7~377c47: 13551 records, 397 hits
20021021.8~e6f72d: 9869 records, 296 hits
20021021.9~39552e: 25083 records, 661 hits
20021022.1: 28572 records, 558 hits
20021022.2~e1eecd: 144198 records, 2652 hits
20021023.1: 32661 records, 917 hits
20021023.2: 10880 records, 423 hits
20021024.1: 8036 records, 202 hits
20021024.2: 29547 records, 523 hits
20021024.3: 17981 records, 930 hits
20021026.1: 25121 records, 1125 hits
20021029.1: 9246 records, 291 hits
20021029.2: 27099 records, 784 hits
20021030.1~83a3ad: 11391 records, 468 hits
20021030.2~b2a8a7: 15764 records, 525 hits
20021030.3~d71e9c: 21191 records, 835 hits
20021030.4~d9beef: 7204 records, 371 hits
20021030.5~3eb8c5: 11071 records, 465 hits
20021030.6~bd6182: 35388 records, 1622 hits
20021101.1~217fce: 6959 records, 211 hits
20021101.2~774fc1: 30620 records, 554 hits
20021101.3~e8f1f4: 24321 records, 700 hits
20021102.1~949b2f: 8851 records, 277 hits
20021102.3~4ec06b: 17762 records, 752 hits
20021102.4~6f37fc: 22630 records, 774 hits
20021105.1~af1949: 24454 records, 971 hits
20021106.1~5675c6: 2281 records, 92 hits
20021107.1~9ac748: 80144 records, 1110 hits
20021108.1~89a060: 56537 records, 1146 hits
20021108.2~35ef29: 7654 records, 159 hits
20021108.3: 39424 records, 1054 hits
20021108.4~5d3491: 11019 records, 303 hits
20021108.5~32d576: 24980 records, 425 hits
20021109.1: 68902 records, 850 hits
20021113.1: 38178 records, 522 hits
20021114.1~03f214: 11515 records, 284 hits
20021115.1~1206de: 10035 records, 343 hits
20021115.2~53b551: 2823 records, 83 hits
20021120.1: 15220 records, 241 hits
20021122.1~70c5a2: 22677 records, 776 hits
20021122.2~0bddb6: 91276 records, 1701 hits
20021122.3: 41105 records, 376 hits
20021122.4: 40818 records, 312 hits
20021122.5: 79028 records, 708 hits
20021124.1: 28015 records, 453 hits
20021124.2: 14619 records, 315 hits
20021210.1: 42688 records, 1993 hits
20030215.1~03271a: 26610 records, 919 hits
20030215.2~795f5c: 41437 records, 1279 hits
20030222.1~406deb: 14643 records, 278 hits
20030222.2~e963b2: 11564 records, 203 hits
20030222.3~1eb6e1: 22890 records, 442 hits
20030226.1~ab31f6: 9123 records, 324 hits
20030226.2~8f0f32: 10647 records, 379 hits
20030226.3~b0430f: 4696 records, 137 hits
20030226.4~fbf61c: 11636 records, 405 hits
20030226.5~cf5b95: 18105 records, 599 hits
20030314.1: 54025 records, 1296 hits
20030329.1~282f82: 20892 records, 403 hits
20030329.2~63463c: 17501 records, 335 hits
20030430.1~c54af0: 38151 records, 459 hits
20030430.2~5b694a: 27240 records, 602 hits
20030501.1~b7dba7: 11835 records, 293 hits
20030501.2~8c0987: 44991 records, 1053 hits
20030619.1~ada0a4: 109396 records, 781 hits
20030619.2~bf4fb6: 148959 records, 1213 hits
20030619.3~b1dfa4: 20066 records, 190 hits
