061201~711fe8: 43097 records, 30.8 min, game type 3, 4 names
061301: 4022 records, 2.4 min, game type 3, 2 names
062201~c86960: 10538 records, 9.4 min, game type 3, 4 names
062501~435409: 9613 records, 10.2 min, game type 3, 5 names
062501.1~6f1941: 12948 records, 15.6 min, game type 3, 4 names
062501.2~9559b5: 27542 records, 17.5 min, game type 3, 4 names
062601~a22323: 15510 records, 13.6 min, game type 3, 4 names
062601.1~f9020c: 34286 records, 24.8 min, game type 3, 4 names
062701~7386a6: 19050 records, 17.0 min, game type 3, 5 names
062701.1~330f7f: 16302 records, 18.6 min, game type 3, 6 names
062901~e99a76: 38118 records, 28.5 min, game type 3, 4 names
081701~2767c2: 17117 records, 14.4 min, game type 3, 4 names
081701.2~60f327: 8078 records, 11.2 min, game type 3, 6 names
082201~8e759b: 53788 records, 60.2 min, game type 3, 2 names
082701: 15338 records, 5.9 min, game type 3, 4 names
082701.1: 41085 records, 12.9 min, game type 3, 4 names
082701.2: 36228 records, 26.3 min, game type 3, 4 names
092601: 19937 records, 22.4 min, game type 3, 3 names
101901: 28761 records, 22.1 min, game type 3, 4 names
101901.1: 33148 records, 28.0 min, game type 3, 6 names
011702~cd8815: 48312 records, 35.4 min, game type 3, 5 names
110601: 9941 records, 10.9 min, game type 3, 4 names
012302: 76617 records, 93.1 min, game type 3, 6 names
012801.2: 24025 records, 13.9 min, game type 3, 4 names
012802: 14327 records, 19.1 min, game type 3, 6 names
012802.1: 29784 records, 20.9 min, game type 3, 6 names
06~2e1a2d: 14717 records, 19.4 min, game type 3, 4 names
06~5e44d6: 25387 records, 33.5 min, game type 3, 4 names
06~93265f: 74339 records, 84.3 min, game type 3, 4 names
121001.1: 23458 records, 34.0 min, game type 3, 4 names
121001.2: 2045 records, 5.9 min, game type 3, 2 names
121801: 1278 records, 18.9 min, game type 3, 4 names
2001.12.3.~b7abf8: 69551 records, 65.5 min, game type 3, 5 names
~805b07: 86922 records, 73.0 min, game type 3, 6 names
~b418d3: 7179 records, 8.0 min, game type 3, 4 names
060402: 19960 records, 37.6 min, game type 3, 4 names
060702.1~221780: 33722 records, 35.4 min, game type 3, 2 names
071502~6be3d4: 20539 records, 26.6 min, game type 3, 5 names
072402.1: 51326 records, 79.8 min, game type 3, 4 names
082502: 13752 records, 17.6 min, game type 3, 2 names
091102~fd9a62: 21897 records, 20.1 min, game type 3, 2 names
091302: 3483 records, 3.9 min, game type 3, 4 names
091402: 16350 records, 25.0 min, game type 3, 5 names
091402.1: 3805 records, 5.2 min, game type 3, 4 names
091402.3: 19788 records, 25.6 min, game type 3, 6 names
100902~d9be0b: 33662 records, 38.3 min, game type 3, 4 names
101102.1~b71a12: 9010 records, 14.5 min, game type 3, 4 names
101102.2~e99f99: 16687 records, 22.9 min, game type 3, 4 names
101102.3~290de5: 24262 records, 26.1 min, game type 3, 4 names
101102.4~5fe61f: 5019 records, 4.4 min, game type 3, 6 names
101202.1~6364d2: 25951 records, 21.4 min, game type 3, 4 names
101202.10~60d341: 53538 records, 45.7 min, game type 3, 4 names
101202.3~6823c4: 39170 records, 23.4 min, game type 3, 4 names
101202.4~8c6ba3: 166224 records, 56.5 min, game type 3, 3 names
101202.5~b61f3e: 13204 records, 14.9 min, game type 3, 4 names
101202.6~836934: 17244 records, 16.4 min, game type 3, 4 names
101202.7~7e3765: 9144 records, 8.9 min, game type 3, 4 names
101202.9~38995d: 52396 records, 40.7 min, game type 3, 4 names
101402.1~f8c08c: 28068 records, 13.0 min, game type 3, 4 names
101402.2~c5272d: 14878 records, 9.4 min, game type 3, 4 names
101402.4~6e4e23: 46780 records, 28.5 min, game type 3, 4 names
101402.5~389716: 21959 records, 30.3 min, game type 3, 6 names
101502.1~ac361f: 39723 records, 49.1 min, game type 3, 6 names
101502.2~611f73: 105135 records, 74.1 min, game type 3, 4 names
101602.1~e9e84b: 29293 records, 26.0 min, game type 3, 4 names
101602.2~934629: 12144 records, 16.7 min, game type 3, 4 names
101802.1~b2155b: 5013 records, 7.1 min, game type 2, 4 names
101902.1~a46d0e: 15070 records, 20.9 min, game type 3, 2 names
101902.2~bdf4bc: 12649 records, 18.1 min, game type 3, 2 names
101902.3~00e450: 24794 records, 34.8 min, game type 3, 4 names
101902.5~2fbd5a: 22680 records, 34.8 min, game type 3, 5 names
102102.1~9d4853: 38772 records, 39.3 min, game type 3, 6 names
102102.10~859e91: 58583 records, 33.9 min, game type 3, 4 names
102102.11~da713f: 13588 records, 8.6 min, game type 3, 4 names
